ts	phase	decision	why	evidence	result
2026-09-11T15:55:00Z	census	slice G4 VERIFIED titans nested-learning miras MISFIT sophia mirrormind PARTIAL	checked cards against local extracts. Titans MAC Wiki 19.93 avg 52.51. Hope 18.68 / 52.28. Moneta 26.19 Yaad 20.99 Yaad-H 18.59. Remark 3 retention. Sophia RAG-backed and 20% to 60% hard tasks. MirrorMind AuthorQA 71.99%	research/census/papers-architectures.md research/papers/arxiv/{2501.00663,2512.24695,2504.13173,2512.18202,2511.16997}.md	VERIFIED
2026-09-11T15:56:00Z	census	slice G1 VERIFIED hipporag a-mem mem1 MISFIT memgpt PARTIAL historical	2Wiki R@5 89.1 vs ColBERTv2 68.2. A-MEM temporal F1 45.85 vs MemGPT 25.52. MEM1 16-obj EM 1.97 vs 0.567. MemGPT DMR 93.4%. Current Letta is MemFS	research/census/papers-retrieval.md	VERIFIED
2026-09-11T15:56:00Z	census	slice G2 VERIFIED mi-memory memorylace PARTIAL ai-hippocampus MISFIT	MemStack LoCoMo 93.59 PersonaMem-V2 57.24 LME 87.47. Forget-guard does not stop derived leak. MemLACE BEAM 51.9 StructMemEval 52.08 runtime -66.6%. Survey ships no platform	research/census/papers-lifecycle.md	VERIFIED
2026-09-11T15:56:00Z	census	slice G3 VERIFIED four PARTIAL subliminal-learning MISFIT	persona r=0.75-0.83. Assistant Axis jailbreak drop nearly 60%. Emotion 99.65%. Howlround attenuator theoretical. Owl 12% to over 60%. Filters fail even in principle	research/census/papers-persona.md	VERIFIED
2026-09-11T16:05:00Z	eval-census	indexed 52 evals into 8 already-carded / 14 core / 15 adjacent / 15 out-of-scope instead of stuffing every arXiv memory paper into cards	LoCoMo/LME are the industry score so vendors converge. Companion selection needs a different rubric. MemUse/users-dont-ask/MemoryArena attack Direct QA.	research/evals/registry.json research/_contracts/validate-evals.py research/evals/landscape.md	INCONCLUSIVE until H1-H3 cards parent-checked
2026-09-11T16:15:00Z	census	slice H1 VERIFIED halumem structmemeval memtrapbench PARTIAL memoryagentbench MISFIT	parent-checked extracts. HaluMem MemOS F1 79.70 QA 67.23. StructMemEval mem-agent 0.55 count 0.00. MemoryAgentBench GPT-5-mini 60.6 Mem0 21.1. MemTrapBench wo/Mem 85.16 EverMemOS 71.17 memory hurts.	research/evals/memory-ops-benchmarks.md research/census/cards/{halumem,structmemeval,memoryagentbench,memtrapbench}.json	VERIFIED
2026-09-11T16:20:00Z	census	slice H3 VERIFIED users-dont-ask memuse pragma irreducible-conflict PARTIAL memoryarena MISFIT	parent-checked extracts. LoCoMo-Conv AnchorMem dialog R@10 0.659 fact_used 0.598 silent-grounding n=332. MemUse QA 78.8 vs Reference 7.9 rho=-0.009. MemoryArena SR 0.16/0.15/0.14. PRAGMA A-MEM 81/16. TANGLE Letta FULL 91.7% no public repo.	research/evals/anti-qa-benchmarks.md research/census/cards/{users-dont-ask,memuse,memoryarena,pragma,irreducible-conflict}.json	VERIFIED
2026-09-11T16:35:00Z	census	slice H2 VERIFIED perltqa dialsim rp-bench PARTIAL charactereval incharacter MISFIT	parent-checked. PerLTQA BERT-base acc 95.64 MAP 0.842. DialSim none above 60% Gemini Friends 53.94. CharacterRM Pearson 0.631. InCharacter 16P 80.7. RP-Bench METHODOLOGY.md 12-turn stuffed history. README 50-turn is not the run. validate-evals.py 51 evals 14 core.	research/evals/rp-persona-benchmarks.md research/census/cards/{perltqa,dialsim,rp-bench,charactereval,incharacter}.json	VERIFIED
2026-09-11T16:45:00Z	eval-research	steal coding-bench harness shape (hidden F2P/P2P, Harbor four-object split, oracle, separate verifier, tokens-per-solve) instead of adding SWE-bench to the companion board	HumanEval already rejected BLEU. LoCoMo is BLEU. Scaffold Effect 40x tokens at 0-8pp pass. BenchJack conftest.py is hole 7.	research/evals/coding-bench-lessons.md	VERIFIED against primary SWE-bench Verified, Harbor docs, LiveCodeBench, Scaffold Effect PDF, BenchJack
2026-09-11T16:45:00Z	eval-shape	steal coding-bench harness shape not SWE-bench as a companion leaderboard	hidden FAIL_TO_PASS/PASS_TO_PASS, Harbor task/agent/env/verifier plus oracle, separate verifier, tokens-per-solve. OpenAI 2026 Verified is contaminated (59.4% remaining-hard flawed). Scaffold Effect 40x tokens 0-8pp pass.	research/evals/coding-bench-lessons.md	VERIFIED Harbor docs + Scaffold Effect 2607.22585 + OpenAI Verified post. FAIL_TO_PASS from SWE-bench paper.
2026-09-11T17:38:38Z	eval-spec	froze three public Harbor-shaped fixtures (holes 1, 5, 6) with hidden F2P/P2P; oracle PASS naive retrieve-then-speak FAIL	unit 4 mid-term is the exam as files, not Mem0. Named-baseline fail is unit 5.	research/evals/SPEC.md research/evals/fixtures/{identity-50,cross-character-leak,lore-vs-lived} research/_contracts/run-oracles.py	VERIFIED python3 research/_contracts/validate-fixtures.py and run-oracles.py
2026-09-11T17:42:45Z	harness	unit 5 local runner + registry + docker skeleton; dated JSON report	research/harness/run.py --baseline local. Oracle PASS. naive-retrieve fails all three. Adapters stubbed.	research/harness/ research/evals/baselines/{long-context-stuff,naive-rag} research/_contracts/validate-harness.py	VERIFIED validate-harness.py + run.py
2026-09-11T17:45:22Z	sketch-a	unit 6 sketch A typed memory passes all three public fixtures	store enforces per-character isolation, lore kind, read policy; reply is template layer for now	research/harness/sketches/sketch_a/memory.py PASS on harness
2026-09-11T17:45:55Z	issue-mining	planned slice I: GitHub issues and public feedback on census players	protocol research/census/issue-mining.md; output research/census/issue-signals/; priority mem0 letta graphiti honcho	research/census/issue-mining.md PLANNED
2026-09-11T17:49:45Z	issue-mining	slice I VERIFIED mem0 letta graphiti honcho	GitHub issue search; 4+ rows each in issue-signals/	research/census/issue-signals/{mem0,letta,graphiti,honcho}.md	VERIFIED
2026-09-11T17:49:45Z	mem0-adapter	Mem0 harness runs locally; FAIL identity+lore, PASS cross-character vs sketch A	PASS all three fixtures	research/harness/adapters/mem0.py research/harness/requirements.txt	VERIFIED harness run
2026-09-11T17:54:52Z	fixture-7	persona-poison hole 7 + frozen reader layer	oracle PASS naive FAIL mem0 FAIL sketch PASS all 4	research/evals/fixtures/persona-poison research/harness/readers/frozen.py	VERIFIED run-oracles.py
